Date	Time	Temperature	Pressure	Rain	solar_rad	wind_speed
03/01/2021	17:00	-1.3	1011	0	4	0
03/01/2021	17:15	-1.7	1011.1	0	0	0
03/01/2021	17:30	-2	1011.1	0	0	0
03/01/2021	17:45	-2.3	1011.3	0	0	0
03/01/2021	18:00	-2.3	1011.4	0	0	0
03/01/2021	18:15	-2.2	1011.7	0	0	0
03/01/2021	18:30	-2.3	1011.8	0	0	0
03/01/2021	18:45	-2.4	1011.9	0	0	0
03/01/2021	19:00	-2.8	1012	0	0	0
03/01/2021	19:15	-3.2	1012.1	0	0	0
03/01/2021	19:30	-3.4	1012.2	0	0	0
03/01/2021	19:45	-3.6	1012.4	0	0	0
03/01/2021	20:00	-3.8	1012.4	0	0	0
03/01/2021	20:15	-3.9	1012.5	0	0	0
03/01/2021	20:30	-4.3	1012.6	0	0	0
03/01/2021	20:45	-4.7	1012.8	0	0	0
03/01/2021	21:00	-5.1	1012.8	0	0	0
03/01/2021	21:15	-5.3	1012.9	0	0	0
03/01/2021	21:30	-5.6	1012.9	0	0	0
03/01/2021	21:45	-5.9	1012.9	0	0	0
03/01/2021	22:00	-6.1	1013	0	0	0
03/01/2021	22:15	-6.6	1013.1	0	0	0
03/01/2021	22:30	-7	1013.1	0	0	0
03/01/2021	22:45	-7.2	1013.1	0	0	0
03/01/2021	23:00	-7.4	1013.2	0	0	0
03/01/2021	23:15	-7.6	1013.1	0	0	0
03/01/2021	23:30	-7.7	1013.1	0	0	0
03/01/2021	23:45	-8	1013.1	0	0	0
04/01/2021	00:00	-8.3	1013.1	0	0	0
04/01/2021	00:15	-8.6	1013.1	0	0	0
04/01/2021	00:30	-8.7	1012.9	0	0	0
04/01/2021	00:45	-8.8	1012.8	0	0	0
04/01/2021	01:00	-8.9	1012.8	0	0	0
04/01/2021	01:15	-9.1	1012.9	0	0	0
04/01/2021	01:30	-9.3	1013	0	0	0
04/01/2021	01:45	-9.4	1013.1	0	0	0
04/01/2021	02:00	-9.6	1013	0	0	0
04/01/2021	02:15	-9.5	1013	0	0	0
04/01/2021	02:30	-9.4	1013	0	0	0
04/01/2021	02:45	-9.2	1013	0	0	0
04/01/2021	03:00	-8.8	1012.8	0	0	0
04/01/2021	03:15	-8.3	1012.9	0	0	0
04/01/2021	03:30	-8.6	1012.7	0	0	0
04/01/2021	03:45	-8.3	1012.6	0	0	0
04/01/2021	04:00	-8.4	1012.5	0	0	0
04/01/2021	04:15	-8.5	1012.3	0	0	0
04/01/2021	04:30	-8.6	1012.2	0	0	0
04/01/2021	04:45	-8.5	1012.1	0	0	0
04/01/2021	05:00	-8.6	1012.2	0	0	0
04/01/2021	05:15	-8.8	1012.1	0	0	0
04/01/2021	05:30	-9	1012.2	0	0	0
04/01/2021	05:45	-9.2	1011.9	0	0	0
04/01/2021	06:00	-9.3	1011.8	0	0	0
04/01/2021	06:15	-9.3	1011.8	0	0	0
04/01/2021	06:30	-9.6	1011.8	0	0	0
04/01/2021	06:45	-9.7	1011.8	0	0	0
04/01/2021	07:00	-9.9	1011.9	0	0	0
04/01/2021	07:15	-9.9	1012	0	0	0
04/01/2021	07:30	-10	1012	0	0	0
04/01/2021	07:45	-10	1012.1	0	0	0
04/01/2021	08:00	-9.8	1012.1	0	0	0
04/01/2021	08:15	-9.7	1012.1	0	0	0
04/01/2021	08:30	-9.6	1012.2	0	2	0
04/01/2021	08:45	-9.8	1012.2	0	7	0
04/01/2021	09:00	-9.7	1012.2	0	12	0
04/01/2021	09:15	-9.8	1012.2	0	18	0
04/01/2021	09:30	-9.5	1012.3	0	27	0
04/01/2021	09:45	-8.9	1012.2	0	28	0
04/01/2021	10:00	-8.2	1012.1	0	48	0
04/01/2021	10:15	-7.2	1011.9	0	76	0
04/01/2021	10:30	-5.8	1011.9	0	78	0
04/01/2021	10:45	-5.3	1011.7	0	63	0
04/01/2021	11:00	-4.9	1011.6	0	70	0
04/01/2021	11:15	-4.3	1011.2	0	91	0
04/01/2021	11:30	-3.6	1010.8	0	107	0
04/01/2021	11:45	-2.8	1010.5	0	115	0
04/01/2021	12:00	-1.9	1010.2	0	115	0
04/01/2021	12:15	-1.2	1010	0	90	0
04/01/2021	12:30	-0.4	1009.8	0	110	0
04/01/2021	12:45	0.3	1009.5	0	123	0
04/01/2021	13:00	0.4	1009.1	0	74	0
04/01/2021	13:15	0.4	1008.9	0	68	0
04/01/2021	13:30	0.7	1008.9	0	55	0
04/01/2021	13:45	0.9	1008.9	0	54	0
04/01/2021	14:00	1.7	1009.1	0	52	0
04/01/2021	14:15	2.3	1009.1	0	47	1.6
04/01/2021	14:30	2.6	1009.1	0	68	1.6
04/01/2021	14:45	2.4	1009.1	0	94	3.2
04/01/2021	15:00	2.1	1009.3	0	79	3.2
04/01/2021	15:15	1.7	1009.4	0.2	25	1.6
04/01/2021	15:30	1.6	1009.5	0	39	0
04/01/2021	15:45	1.4	1009.4	0	39	1.6
04/01/2021	16:00	1.3	1009.5	0	35	0
04/01/2021	16:15	1.2	1009.5	0	17	0
04/01/2021	16:30	1	1009.6	0	8	0
04/01/2021	16:45	0.8	1009.5	0	9	0
04/01/2021	17:00	0.1	1009.7	0	2	1.6
04/01/2021	17:15	-1	1009.9	0	0	1.6
04/01/2021	17:30	-1.6	1010.1	0	0	1.6
04/01/2021	17:45	-1.9	1010.2	0	0	1.6
04/01/2021	18:00	-2.1	1010.4	0	0	1.6
04/01/2021	18:15	-2.2	1010.8	0	0	0
04/01/2021	18:30	-2.3	1010.7	0	0	0
04/01/2021	18:45	-2.3	1010.8	0	0	0
04/01/2021	19:00	-2.4	1010.9	0	0	0
04/01/2021	19:15	-2.6	1011	0	0	0
04/01/2021	19:30	-2.5	1011.2	0	0	0
04/01/2021	19:45	-2.5	1011.5	0	0	0
04/01/2021	20:00	-2.4	1011.6	0	0	0
04/01/2021	20:15	-2.4	1011.7	0	0	0
04/01/2021	20:30	-2.4	1011.9	0	0	0
04/01/2021	20:45	-2.4	1011.9	0	0	0
04/01/2021	21:00	-2.4	1011.9	0	0	0
04/01/2021	21:15	-2.6	1012.1	0	0	0
04/01/2021	21:30	-2.7	1012.1	0	0	0
04/01/2021	21:45	-2.8	1012.2	0	0	0
04/01/2021	22:00	-2.9	1012.1	0	0	0
04/01/2021	22:15	-3.1	1012.1	0	0	0
04/01/2021	22:30	-3.2	1012.1	0	0	0
04/01/2021	22:45	-3.2	1012.1	0	0	0
04/01/2021	23:00	-3.3	1012.3	0	0	0
04/01/2021	23:15	-3.4	1012.3	0	0	0
04/01/2021	23:30	-3.5	1012.4	0	0	0
04/01/2021	23:45	-3.6	1012.3	0	0	0
05/01/2021	00:00	-3.6	1012.3	0	0	0
05/01/2021	00:15	-3.7	1012.2	0	0	0
05/01/2021	00:30	-3.6	1012.2	0	0	0
05/01/2021	00:45	-3.5	1012.1	0	0	0
05/01/2021	01:00	-3.6	1012.1	0	0	0
